STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000621,110,0,0,226,175
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000622,30,0,0,273,167
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000623,0,0,0,223,144
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000624,0,0,0,259,135
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000625,150,0,0,251,195
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000626,0,0,0,304,189
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000627,35,0,0,260,162
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000628,0,0,0,232,147
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000629,0,0,0,235,156
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000630,30,0,0,236,152
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000701,150,0,0,261,149
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000702,5,0,0,271,166
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000703,35,0,0,211,172
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000704,5,0,0,261,153
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000705,0,0,0,212,128
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000706,0,0,0,223,113
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000707,25,0,0,205,104
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000708,0,0,0,253,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000709,35,0,0,197,153
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000710,20,0,0,248,153
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000711,0,0,0,245,141
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000712,0,0,0,285,131
