"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO","Précipitation totale (mm)"
"FSL-300",2014/09/24,"16,5",276,"8,4","=",15,-1,1
"FSL-300",2014/07/30,"20,9",290,"8,4","=",10,-2,8
"FSL-300",2014/09/02,"22,2",275,"8,3","=",11,-2,10
"FSL-310",2014/06/03,"17,3",217,"8,1","=",9,1,0
"FSL-310",2014/06/11,"18,2",252,"8,4","=",8,1,0
"FSL-310",2014/06/17,"18,5",246,"8,2","=",9,1,0
"FSL-310",2014/06/23,"19,7",256,"8,3","=",18,1,0
"FSL-310",2014/07/02,"21,8",270,"8,3","=",55,1,0
"FSL-310",2014/07/21,"22,7",269,"8,6","=",2,1,0
"FSL-310",2014/08/04,"22,9",281,"8,5","=",13,1,0
"FSL-310",2014/08/19,"20,7",270,"8,4","=",10,1,0
"FSL-310",2014/08/27,"22,8",278,"8,5","=",48,1,0
"FSL-310",2014/09/09,"21,9",273,"8,4","=",42,1,0
"FSL-310",2014/09/16,"18,4",273,"8,4","=",20,1,0
"FSL-310",2014/10/01,"17,5",257,"8,4","=",18,1,0
"FSL-310",2014/08/13,"22,3",296,"8,4","=",54,0,32
"FSL-310",2014/10/07,"15,7",260,"8,3","=",38,0,3
"FSL-310",2014/10/15,"15,2",265,"8,2","=",13,0,1
"FSL-310",2014/07/08,"21,2",277,"8,4","=",31,-1,9
"FSL-310",2014/07/16,"21,3",281,"8,4","=",5,-1,2
"FSL-310",2014/09/24,"16,8",290,"8,4","=",10,-1,1
"FSL-310",2014/07/30,"21,8",289,"8,5","=",150,-2,8
"FSL-310",2014/09/02,"22,5",274,"8,4","=",26,-2,10
"FSL-330",2014/06/03,"17,1",218,"8,2","=",8,1,0
"FSL-330",2014/06/11,"18,0",251,"8,6","=",3,1,0
"FSL-330",2014/06/17,"18,5",249,"8,1","=",18,1,0
"FSL-330",2014/06/23,"20,4",257,"8,4","=",25,1,0
"FSL-330",2014/07/02,"22,5",270,"8,8","=",55,1,0
"FSL-330",2014/07/21,"23,5",168,"8,8","=",26,1,0
"FSL-330",2014/08/04,"24,1",290,"8,8","=",7,1,0
"FSL-330",2014/08/19,"21,4",278,"8,6","=",70,1,0
"FSL-330",2014/08/27,"23,0",279,"8,7","=",78,1,0
"FSL-330",2014/09/09,"22,5",263,"8,6","=",82,1,0
"FSL-330",2014/09/16,"18,4",271,"8,7","=",15,1,0
"FSL-330",2014/10/01,"17,5",265,"8,7","=",20,1,0
"FSL-330",2014/08/13,"22,4",302,"8,5","=",250,0,32
"FSL-330",2014/10/07,"15,7",268,"8,3","=",40,0,3
"FSL-330",2014/10/15,"15,2",271,"8,2","=",10,0,1
"FSL-330",2014/07/08,"22,9",279,"8,9","=",44,-1,9
"FSL-330",2014/07/16,"22,7",281,"8,7","=",21,-1,2
"FSL-330",2014/09/24,"17,3",2833,"8,6","=",440,-1,1
"FSL-330",2014/07/30,"22,3",286,"8,8","=",16,-2,8
"FSL-330",2014/09/02,"22,6",277,"8,6","=",38,-2,10
