"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"BLAP-7","2011-09-13  10:38:42","20,8","349","8,1","=","42"
"BLAP-7","2011-05-24  11:16:00","14,3","256","7,8","=","44"
"BLAP-7","2011-05-30  11:17:10","13,9","272","7,9","=","110"
"BLAP-7","2011-06-14  10:56:00","16,6","289","7,9","=","62"
"BLAP-7","2011-07-12  10:39:16","22,4","302","8","=","40"
"BLAP-7","2011-07-27  10:19:55","23,3","293","8,2","=","5"
"BLAP-7","2011-08-02  09:50:31","23,5","300","8,1","=","160"
"BLAP-7","2011-08-08  10:54:02","24,3","307","8,2",">","6000"
"BLAP-7","2011-08-17  10:29:55","22,8","303","8,2","=","27"
"BLAP-7","2011-08-23  10:30:09","21,3","322","8,2","=","18"
"BLAP-7","2011-09-07  10:24:20","20,8","333","8,1","=","33"
"BLAP-7","2011-05-18  11:47:12","10,7","265","7,8","=","9"
"BLAP-7","2011-06-27  11:30:02","19","320","7,9","=","1300"
"BLAP-7","2011-09-28  10:35:09","18,9","386","8,2","=","42"
"BLAP-8.5","2011-06-08  11:04:04","18","219","8,3","=","5"
"BLAP-8.5","2011-07-18  10:37:05","23,9","267","8,4","=","10"
"BLAP-8.5","2011-09-19  10:56:39","18,1","255","8,6","=","21"
"BLAP-8.5","2011-06-21  12:05:14","19,8","265","8,4","=","5"
"BLAP-8.5","2011-07-06  10:21:04","21,9","260","8,1","=","20"
"BLAP-8.5","2011-08-29  11:22:11","20,4","265","8,4","=","160"
"BLAP-8.5","2011-09-13  11:02:53","21,2","270","8,5","=","66"
"BLAP-8.5","2011-05-24  11:44:00","14,8","191","7,9","=","7"
"BLAP-8.5","2011-05-30  11:43:44","14,5","219","8,1","=","13"
"BLAP-8.5","2011-06-14  11:23:27","17,1","226","8,1","=","40"
"BLAP-8.5","2011-07-12  11:05:22","22,9","255","8,4","=","5"
"BLAP-8.5","2011-07-27  10:45:29","23,5","266","8,5","=","7"
"BLAP-8.5","2011-08-02  10:13:32","24,2","270","8,4","=","180"
"BLAP-8.5","2011-08-08  11:19:13","24,8","270","8,5","=","11"
"BLAP-8.5","2011-08-17  10:58:09","23,5","270","8,5","=","31"
"BLAP-8.5","2011-08-23  10:55:51","21,9","287","8,5","=","33"
"BLAP-8.5","2011-09-07  10:54:22","20,9","271","8,4","=","23"
"BLAP-8.5","2011-05-18  12:13:38","10,7","149","7,8","<","10"
"BLAP-8.5","2011-06-27  11:59:12","19,6","249","8,2","=","23"
"BLAP-8.5","2011-09-28  11:00:24","19,2","293","8,5","=","25"
"BLAP-9","2011-06-08  10:19:50","19,6","214","9,1","=","26"
"BLAP-9","2011-07-06  09:51:45","22,1","262","8,3","=","40"
"BLAP-9","2011-07-18  10:01:28","24,2","255","8,4","=","33"
"BLAP-9","2011-09-19  10:21:03","18,4","263","8,8","=","44"
"BLAP-9","2011-06-21  11:22:11","21,5","266","8,8","=","18"
"BLAP-9","2011-08-29  10:42:43","20,8","247","8,5","=","60"
"BLAP-9","2011-09-13  10:27:31","21,2","275","8,5","=","86"
"BLAP-9","2011-05-24  11:02:00","16,3","203","8","=","26"
"BLAP-9","2011-05-30  11:03:54","16,6","221","8,4","=","170"
"BLAP-9","2011-06-14  10:46:04","17,8","242","8,3","=","800"
"BLAP-9","2011-07-12  10:28:03","23,5","255","8,5","=","7"
"BLAP-9","2011-07-27  10:08:19","23,5","263","8,4","=","570"
"BLAP-9","2011-08-02  09:39:35","24,1","268","8,4","=","82"
"BLAP-9","2011-08-08  10:42:06","25,2","273","8,7","=","8"
"BLAP-9","2011-08-17  10:18:18","23,9","263","8,6","=","150"
"BLAP-9","2011-08-23  10:18:41","22,2","284","8,6","=","210"
"BLAP-9","2011-09-07  10:13:06","20,1","282","8,2","=","38"
"BLAP-9","2011-05-18  11:35:20","11,5","150","8","=","18"
"BLAP-9","2011-06-27  11:12:52","20,8","251","8,5","=","30"
"BLAP-9","2011-09-28  10:24:32","19","298","8,6","=","34"
"FSL-190","2011-06-08  11:16:54","16,8","274","8,3","=","15"
"FSL-190","2011-07-18  11:41:34","23,4","296","8,5","=","15"
"FSL-190","2011-09-19  11:14:36","18,1","289","8,6","=","5"
"FSL-190","2011-06-21  13:07:42","18,9","293","8,5","=","7"
"FSL-190","2011-07-06  10:33:01","21,2","298","8,1","=","16"
"FSL-190","2011-08-29  11:47:27","21,1","297","8,5","=","1000"
"FSL-190","2011-09-13  11:14:45","21","290","8,5","<","10"
"FSL-190","2011-05-24  12:11:00","13","269","8","=","20"
"FSL-190","2011-05-30  12:40:03","13,4","269","8,1","=","130"
"FSL-190","2011-06-14  12:27:43","16,5","286","8,2","=","3"
"FSL-190","2011-07-12  11:56:52","22,5","292","8,5","<","2"
"FSL-190","2011-07-27  11:24:10","23,4","297","8,6","=","5"
"FSL-190","2011-08-02  10:24:52","23,9","297","8,5","=","50"
"FSL-190","2011-08-08  12:22:07","24,5","292","8,6","=","46"
"FSL-190","2011-08-17  11:10:32","23,3","299","8,5","=","20"
"FSL-190","2011-08-23  11:11:15","22","299","8,5","=","5"
