"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-4.5",2006/08/22,"22,2",226,"8,0","=",58,-1
"BLAP-4.5",2006/08/28,"18,5",228,"7,8","=",2200,-1
"BLAP-4.5",2006/05/08,"13,9",50,"4,3","=",96,-2
"BLAP-4.5",2006/05/23,"12,1",149,"7,8","=",370,-2
"BLAP-4.5",2006/06/05,"18,3",185,"7,5","=",2300,-2
"BLAP-4.5",2006/06/13,"18,6",193,"7,7","=",22000,-2
"BLAP-4.5",2006/07/04,"23,5",224,"7,6","=",700,-2
"BLAP-5.5",2006/05/30,"18,8",209,"7,3","=",20,1
"BLAP-5.5",2006/06/19,"21,2",251,"7,8","=",330,1
"BLAP-5.5",2006/07/10,"23,2",233,"8,0","=",18,1
"BLAP-5.5",2006/08/08,"24,1",201,"7,8","=",30,1
"BLAP-5.5",2006/08/14,"22,9",222,"8,0","=",22,1
"BLAP-5.5",2006/09/11,"17,4",246,"8,0","=",10,1
"BLAP-5.5",2006/09/18,"19,4",242,"7,6","=",46,1
"BLAP-5.5",2006/05/15,"12,9",188,"7,9","=",20,0
"BLAP-5.5",2006/06/27,"21,3",262,"7,6","=",270,0
"BLAP-5.5",2006/07/18,"24,4",244,"7,8","=",72,0
"BLAP-5.5",2006/08/01,"25,2",232,"7,8","=",3400,0
"BLAP-5.5",2006/09/04,"17,3",189,"7,8","=",20,0
"BLAP-5.5",2006/07/24,"24,6",241,"7,8","=",14,-1
"BLAP-5.5",2006/08/22,"23,6",232,"7,9","=",28,-1
"BLAP-5.5",2006/08/28,"18,5",250,"7,8","=",40,-1
"BLAP-5.5",2006/05/08,"14,4",162,"8,3","=",38,-2
"BLAP-5.5",2006/05/23,"11,9",181,"7,9","=",42,-2
"BLAP-5.5",2006/06/05,"18,9",198,"7,6","=",24,-2
"BLAP-5.5",2006/06/13,"20,2",213,"7,7","=",2,-2
"BLAP-5.5",2006/07/04,"23,3",224,"7,9","=",24,-2
"BLAP-6",2006/05/30,"18,6",206,"7,5","=",100,1
"BLAP-6",2006/06/19,"21,3",249,"8,0","=",5700,1
"BLAP-6",2006/07/10,"23,8",227,"8,3","=",220,1
"BLAP-6",2006/08/08,"23,7",204,"8,2","=",94,1
"BLAP-6",2006/08/14,"23,3",216,"8,2","=",66,1
"BLAP-6",2006/09/11,"17,4",245,"8,2","=",210,1
"BLAP-6",2006/09/18,"19,4",236,"7,8","=",60,1
"BLAP-6",2006/05/15,"13,3",180,"7,8","=",40,0
"BLAP-6",2006/06/27,"21,8",247,"7,7","=",680,0
"BLAP-6",2006/07/18,"23,7",251,"8,1","=",330,0
"BLAP-6",2006/08/01,"25,0",228,"8,1","=",2900,0
"BLAP-6",2006/09/04,"18,9",222,"8,0","=",130,0
"BLAP-6",2006/07/24,"24,4",238,"8,1","=",140,-1
"BLAP-6",2006/08/22,"21,9",236,"8,5","=",120,-1
"BLAP-6",2006/08/28,"19,1",242,"8,2","=",96,-1
"BLAP-6",2006/05/08,"11,9",164,"8,4","=",1300,-2
"BLAP-6",2006/05/23,"12,5",176,"8,0","=",110,-2
"BLAP-6",2006/06/05,"18,9",195,"7,8","=",210,-2
"BLAP-6",2006/06/13,"19,3",216,"7,8","=",3000,-2
"BLAP-6",2006/07/04,"24,3",219,"8,1","=",82,-2
"BLAP-7",2006/05/30,"17,8",324,"7,5","=",12000,1
"BLAP-7",2006/06/19,"19,5",444,"7,8","=",33000,1
"BLAP-7",2006/07/10,"23,3",395,"8,0","=",160000,1
"BLAP-7",2006/08/08,"23,1",271,"7,8","=",22000,1
"BLAP-7",2006/08/14,"22,2",315,"9,1","=",6400,1
"BLAP-7",2006/09/11,"18,0",313,"7,8","=",23000,1
"BLAP-7",2006/09/18,"19,2",285,"7,5","=",6900,1
"BLAP-7",2006/05/15,"12,4",251,"7,7",">",60000,0
"BLAP-7",2006/06/27,"20,5",473,"7,6","=",360000,0
"BLAP-7",2006/07/18,"23,5",337,"7,9","=",10000,0
"BLAP-7",2006/08/01,"25,0",304,"7,7",">",6000,0
"BLAP-7",2006/09/04,"18,8",160,"7,9","=",66000,0
"BLAP-7",2006/07/24,"24,9",335,"7,8","=",360,-1
"BLAP-7",2006/08/22,"22,4",304,"9,5","=",2100,-1
"BLAP-7",2006/08/28,"18,5",406,"8,3","=",2000,-1
"BLAP-7",2006/05/08,"12,0",217,"8,3","=",4600,-2
"BLAP-7",2006/05/23,"13,0",262,"8,0","=",1900,-2
"BLAP-7",2006/06/05,"17,4",278,"7,7","=",33000,-2
"BLAP-7",2006/06/13,"18,6",419,"7,8","=",2800,-2
"BLAP-7",2006/07/04,"23,3",436,"7,8","=",49000,-2
"BLAP-8",2006/05/30,"18,1",214,"7,6","=",44,1
"BLAP-8",2006/06/19,"25,1",237,"7,8","=",10,1
"BLAP-8",2006/07/10,"24,2",239,"8,2","=",26,1
"BLAP-8",2006/08/08,"23,7",228,"7,9","=",28,1
"BLAP-8",2006/08/14,"23,4",237,"8,2","=",22,1
"BLAP-8",2006/09/11,"18,3",253,"8,5","=",14,1
"BLAP-8",2006/09/18,"20,0",246,"7,8","=",36,1
"BLAP-8",2006/05/15,"13,0",196,"7,9","=",24,0
"BLAP-8",2006/06/27,"22,1",254,"7,9","=",42,0
"BLAP-8",2006/07/04,"23,6",231,"7,8","=",46,0
"BLAP-8",2006/07/18,"25,3",249,"8,1","=",72,0
"BLAP-8",2006/08/01,"26,0",234,"8,0","=",3800,0
"BLAP-8",2006/09/04,"19,1",239,"8,2","=",14,0
"BLAP-8",2006/07/24,"24,1",251,"8,0","=",100,-1
"BLAP-8",2006/08/22,"23,0",248,"8,2","=",26,-1
"BLAP-8",2006/08/28,"18,5",260,"8,2","=",84,-1
"BLAP-8",2006/05/08,"12,6",178,"8,3","=",30,-2
"BLAP-8",2006/05/23,"12,5",157,"8,0","=",30,-2
"BLAP-8",2006/06/05,"19,1",214,"7,7","=",34,-2
"BLAP-8",2006/06/13,"18,2",227,"7,7","=",240,-2
"BLAP-9",2006/05/30,"19,4",233,"8,2","=",230,1
"BLAP-9",2006/06/19,"23,5",238,"8,2","=",550,1
"BLAP-9",2006/07/10,"23,8",198,"8,4","=",270,1
"BLAP-9",2006/08/08,"24,4",245,"8,2","=",280,1
"BLAP-9",2006/08/14,"23,7",215,"8,0","=",340,1
"BLAP-9",2006/09/11,"18,9",270,"8,5","=",300,1
"BLAP-9",2006/09/18,"20,7",245,"7,8","=",120,1
"BLAP-9",2006/05/15,"13,3",217,"8,0","=",1000,0
"BLAP-9",2006/06/27,"20,7",417,"7,7",">",6000,0
"BLAP-9",2006/07/18,"25,1",287,"7,8","=",2200,0
"BLAP-9",2006/08/01,"26,3",266,"7,7","=",45000,0
"BLAP-9",2006/09/04,"17,3",257,"7,8","=",360,0
"BLAP-9",2006/07/24,"25,9",321,"8,2","=",490,-1
"BLAP-9",2006/08/22,"23,3",253,"8,1","=",220,-1
"BLAP-9",2006/08/28,"19,0",270,"7,8","=",120,-1
"BLAP-9",2006/05/08,"18,4",147,"8,1","=",24,-2
"BLAP-9",2006/05/23,"12,9",194,"8,3","=",66,-2
"BLAP-9",2006/06/05,"21,2",227,"8,4","=",150,-2
"BLAP-9",2006/06/13,"21,0",265,"8,1","=",2000,-2
"BLAP-9",2006/07/04,"22,8",319,"7,8","=",13000,-2
"FSL-170",2006/05/30,"21,1",412,"7,9","=",10,1
"FSL-170",2006/06/19,"25,3",330,"8,0","=",88,1
"FSL-170",2006/07/10,"23,4",290,"8,1","<",2,1
"FSL-170",2006/07/10,,,,"<",2,1
"FSL-170",2006/08/08,,,,"=",6,1
"FSL-170",2006/08/08,"23,7",302,"8,0","=",210,1
"FSL-170",2006/08/14,"23,9",276,"8,2","=",6,1
"FSL-170",2006/08/14,,,,"=",10,1
"FSL-170",2006/09/11,,,,"=",6,1
"FSL-170",2006/09/11,"19,0",314,"8,3","=",2,1
"FSL-170",2006/09/18,"20,4",314,"7,8","<",2,1
"FSL-170",2006/09/18,,,,,,1
"FSL-170",2006/05/15,"16,5",460,"8,1","=",8,0
"FSL-170",2006/06/27,"23,5",295,"7,7","<",2,0
"FSL-170",2006/07/04,"23,6",295,"8,0","<",2,0
"FSL-170",2006/07/04,,,,"<",2,0
"FSL-170",2006/07/18,,,,"<",2,0
"FSL-170",2006/07/18,"28,0",295,"8,1","<",2,0
"FSL-170",2006/08/01,"26,4",288,"8,0","<",2,0
"FSL-170",2006/08/01,,,,"<",2,0
"FSL-180",2006/05/30,"20,5",271,"7,7","=",30,1
"FSL-180",2006/06/19,"24,5",288,"8,1","=",330,1
"FSL-180",2006/07/10,"26,2",273,"8,2","=",90,1
"FSL-180",2006/08/08,"26,5",284,"8,0",,,1
"FSL-180",2006/08/14,,,,,,1
"FSL-180",2006/09/11,"19,6",290,"8,2","=",20,1
"FSL-180",2006/09/18,"21,6",288,"7,8","=",8,1
"FSL-180",2006/05/15,"15,2",306,"8,2","=",6,0
"FSL-180",2006/06/27,"23,6",284,"8,1","=",3200,0
"FSL-180",2006/07/04,"25,8",282,"8,0","=",570,0
"FSL-180",2006/07/18,"29,4",277,"8,1","=",510,0
"FSL-180",2006/08/01,"27,7",286,"8,2","=",1000,0
"FSL-180",2006/09/04,"18,3",317,"8,1","=",130,0
"FSL-180",2006/07/24,"25,6",283,"8,2","=",64,-1
"FSL-180",2006/08/22,"24,3",283,"8,1","=",340,-1
"FSL-180",2006/08/28,"19,7",296,"8,0","=",1700,-1
"FSL-180",2006/05/08,"15,0",280,"8,7","<",2,-2
"FSL-180",2006/05/23,"12,4",282,"8,4","=",490,-2
"FSL-180",2006/06/05,"21,6",276,"7,9","=",34,-2
"FSL-180",2006/06/13,"20,1",280,"8,0","=",140,-2
"FSL-185",2006/05/30,"21,6",289,"8,4","<",2,1
"FSL-185",2006/06/19,"25,7",254,"8,7","<",2,1
"FSL-185",2006/07/10,"25,4",225,"8,8","=",100,1
"FSL-185",2006/08/08,"25,1",234,"8,6",,,1
"FSL-185",2006/08/14,"23,9",226,"8,7","=",48,1
"FSL-185",2006/09/11,"18,5",267,"8,4","=",10,1
"FSL-185",2006/09/18,"20,8",272,"7,9","=",500,1
"FSL-185",2006/05/15,"17,1",302,"8,3","=",20,0
"FSL-185",2006/06/27,"23,5",237,"8,6","=",220,0
"FSL-185",2006/07/04,"25,3",225,"8,7","=",14,0
"FSL-185",2006/07/18,"29,2",230,"8,6","=",680,0
"FSL-185",2006/08/01,"25,6",232,"8,6","=",70,0
"FSL-185",2006/09/04,"18,3",258,"8,3","=",900,0
"FSL-185",2006/07/24,"24,5",244,"8,4","=",10,-1
"FSL-185",2006/08/22,"23,8",233,"8,6","=",28,-1
"FSL-185",2006/08/28,"19,5",240,"8,1","=",70,-1
"FSL-185",2006/05/08,"16,6",341,"8,8","=",6,-2
"FSL-185",2006/05/23,"13,4",295,"8,8","<",2,-2
"FSL-185",2006/06/05,"21,0",274,"8,3","=",4,-2
"FSL-185",2006/06/13,"21,5",266,"8,4","=",4,-2
"FSL-190",2006/05/30,"18,8",264,"7,8","=",10,1
"FSL-190",2006/06/19,"20,8",239,"8,0","=",4,1
"FSL-190",2006/07/10,"24,9",268,"8,2","=",24,1
"FSL-190",2006/08/08,"25,4",275,"8,1","=",16,1
"FSL-190",2006/08/14,"22,8",286,"8,2","=",6,1
"FSL-190",2006/09/11,"18,1",290,"8,3","=",2,1
"FSL-190",2006/09/18,"19,1",287,"7,9","=",90,1
"FSL-190",2006/05/15,"13,2",282,"8,2","=",14,0
"FSL-190",2006/06/27,"22,5",270,"7,8","=",68,0
